,card_id,field_id,date_collected,total_scm,scm_male,scm_female,season_total,male_total,female_total,weekly_prop,weekly_prop_f,weekly_prop_m,season_prop,week,year
2111,2272.0,ZUE_REE,2023-04-26,133.0,65.0,68.0,2497.0,1359.0,1138.0,0.05326391670004005,0.05975395430579965,0.047829286239882265,0.056467761313576295,17,2023
2109,2218.0,STA_HEM_2,2023-04-26,95.0,25.0,70.0,891.0,516.0,375.0,0.10662177328843996,0.18666666666666668,0.04844961240310078,0.2244668911335578,17,2023
2107,2216.0,STA_SWE,2023-04-26,24.0,23.0,1.0,366.0,297.0,69.0,0.06557377049180328,0.014492753623188406,0.07744107744107744,0.07923497267759563,17,2023
2105,2214.0,STA_WIL,2023-04-26,37.0,29.0,8.0,281.0,230.0,51.0,0.13167259786476868,0.1568627450980392,0.12608695652173912,0.3309608540925267,17,2023
2103,2212.0,STA_HEM,2023-04-26,74.0,42.0,32.0,1309.0,715.0,594.0,0.05653170359052712,0.05387205387205387,0.05874125874125874,0.1168831168831169,17,2023
2101,2210.0,STA_COL,2023-04-26,18.0,9.0,9.0,720.0,532.0,188.0,0.025,0.047872340425531915,0.016917293233082706,0.03888888888888889,17,2023
2081,2234.0,MIL_CHA,2023-04-27,49.0,33.0,16.0,277.0,157.0,120.0,0.17689530685920576,0.13333333333333333,0.21019108280254778,0.6967509025270757,17,2023
2083,2236.0,MIL_MCC,2023-04-27,133.0,72.0,61.0,439.0,240.0,199.0,0.30296127562642367,0.3065326633165829,0.3,0.4396355353075171,17,2023
2085,2254.0,DEG_PER_STRIP,2023-04-27,46.0,30.0,16.0,190.0,106.0,84.0,0.24210526315789474,0.19047619047619047,0.2830188679245283,0.32105263157894737,17,2023
2087,2256.0,DEG_VIL,2023-04-27,107.0,60.0,47.0,836.0,460.0,376.0,0.12799043062200957,0.125,0.13043478260869565,0.1507177033492823,17,2023
2079,2232.0,MIL_YOD,2023-04-27,46.0,36.0,10.0,501.0,299.0,202.0,0.09181636726546906,0.04950495049504951,0.12040133779264214,0.7285429141716567,17,2023
2091,2260.0,DEG_YOU_OSHEA,2023-04-27,47.0,30.0,17.0,610.0,262.0,348.0,0.07704918032786885,0.04885057471264368,0.11450381679389313,0.11147540983606558,17,2023
2093,2262.0,DEG_DIE_SWC,2023-04-27,28.0,13.0,15.0,223.0,110.0,113.0,0.12556053811659193,0.13274336283185842,0.11818181818181818,0.2959641255605381,17,2023
2095,2264.0,DEG_YOU_BOCES,2023-04-27,90.0,56.0,34.0,639.0,344.0,295.0,0.14084507042253522,0.1152542372881356,0.16279069767441862,0.3755868544600939,17,2023
2097,2266.0,DEG_DIE_HILL,2023-04-27,115.0,94.0,21.0,1157.0,731.0,426.0,0.09939498703543648,0.04929577464788732,0.12859097127222982,0.13223854796888507,17,2023
